2026-06-07 10:48:23, SELF, v:1, k:ed@vetbuild, self:1, guided:1
2026-06-07 10:48:24, MOVE, v:1, k:ed@vetbuild, mode:PICK
2026-06-07 10:48:25, MOVE, v:1, k:ed@vetbuild, mode:BACK
2026-06-07 10:49:01, MOVE, v:1, k:ed@vetbuild, mode:PICK
2026-06-07 10:48:56, EXEC, v:1, k:ed@vetbuild, mode:FULL, rate:90
2026-06-07 10:49:01, MOVE, v:1, k:ed@vetbuild, mode:BACK
2026-06-07 10:50:17, MOVE, v:1, k:ed@editorint, mode:PICK
2026-06-07 10:50:54, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 10:51:44, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 10:52:17, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 10:50:22, MOVE, v:1, k:ed@vetbuild, mode:EDIT
2026-06-07 10:52:24, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-07 10:52:26, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 10:53:10, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 10:53:51, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 10:55:39, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 10:55:32, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-07 10:57:44, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 11:01:21, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 11:02:23, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 11:02:00, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-07 11:03:43, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 11:04:00, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-07 11:02:53, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-07 11:08:44, MOVE, v:1, k:ed@editorint, mode:BACK
2026-06-07 11:16:28, MOVE, v:1, k:ed@editorint, mode:PICK
2026-06-07 11:17:02, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 11:20:19, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 11:21:17, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 11:22:09, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-07 11:25:15, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 11:25:27, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 11:26:19, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 11:25:45, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-07 11:25:52, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-07 11:30:01, MOVE, v:1, k:ed@editorint, mode:BACK
2026-06-07 11:30:27, SELF, v:1, k:ed@editorint, self:1, rate:60, study:180
2026-06-07 11:33:13, MOVE, v:1, k:ed@editorint, mode:PICK
2026-06-07 11:34:41, MOVE, v:1, k:ed@editorint, mode:BACK
2026-06-07 11:45:35, SELF, v:1, k:ed@editorint, self:1, rate:60, study:180, guided:1
2026-06-07 11:45:44, SELF, v:1, k:ed@editorint, self:1, rate:60, study:180
2026-06-07 12:19:34, MOVE, v:1, k:ed@editorint, mode:PICK
2026-06-07 12:20:03, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 12:21:17, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 12:22:29, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 12:23:07, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 12:23:25, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 12:22:52, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-07 12:28:31, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 12:28:28, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-07 12:32:11, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 12:31:55, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-07 12:38:19, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 12:38:15, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-07 12:39:16, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 12:39:24, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 12:41:13, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 12:42:09, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 12:41:36, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-07 12:55:51, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 13:03:51, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 13:05:19, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-07 13:05:13, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-07 13:06:07, MOVE, v:1, k:ed@editorint, mode:BACK
2026-06-07 13:06:18, SELF, v:1, k:ed@editorint, self:1, rate:60, study:180, guided:1
